# table	production_probe_test; UNTESTED is a failing placeholder, never coverage
finance_accounts	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_products	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_titles	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_chains	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_stores	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
finance_transactions	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_tags	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_transaction_tags	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
finance_transfers	FinancePersistenceDeviceTest#transferReceiptAndRecurrencePersistThroughCapsule
finance_macros	FinancePersistenceDeviceTest#transferReceiptAndRecurrencePersistThroughCapsule
finance_recurrences	FinancePersistenceDeviceTest#transferReceiptAndRecurrencePersistThroughCapsule
finance_recurrence_tags	FinancePersistenceDeviceTest#transferReceiptAndRecurrencePersistThroughCapsule
finance_recurrence_overrides	FinancePersistenceDeviceTest#transferReceiptAndRecurrencePersistThroughCapsule
finance_attachments	FinancePersistenceDeviceTest#transactionGraphPersistsAndEditsThroughCapsule
# Immutable legacy Room backup metadata; the runtime has no writer. Probe verifies schema materialization/reopen.
backup_metadata	LegacyBackupMetadataSchemaDeviceTest#legacyBackupMetadataSchemaPersistsAcrossReopen
contacts	PersistenceUiRegressionDeviceTest#peopleCreateEditReopenReadbackAndCleanup
contact_fields	PersistenceUiRegressionDeviceTest#peopleCreateEditReopenReadbackAndCleanup
contact_events	PersistenceUiRegressionDeviceTest#peopleCreateEditReopenReadbackAndCleanup
contact_initiatives	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
contact_messaging_links	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
saved_searches	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
saved_search_tags	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
tags	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
contact_tags	PeopleRelatedPersistenceDeviceTest#contactRelationsPersistThroughRepository
places	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
place_aliases	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
place_links	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
place_events	PlacePersistenceDeviceTest#placeEventAndHistoryEditPersistThroughRepository
check_in_attempts	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
check_in_attempt_candidates	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
global_stats_state	PlacePersistenceDeviceTest#placeEventAndHistoryEditPersistThroughRepository
route_distance_cache	PlacePersistenceDeviceTest#routeCachePersistsThroughDistanceRepository
history_audit_log	PlacePersistenceDeviceTest#placeEventAndHistoryEditPersistThroughRepository
history_actions	PlacePersistenceDeviceTest#placeEventAndHistoryEditPersistThroughRepository
place_geofence_configs	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
place_geofence_transition_log	PlacePersistenceDeviceTest#geofenceTransitionPersistsThroughReceiver
place_tags	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
place_tag_cross_ref	PlacePersistenceDeviceTest#placeRelationsPersistThroughRepositories
alert_rules	PlaceAlertPersistenceDeviceTest#alertRuleAndTagTargetsPersistThroughRepository
alert_place_tag_targets	PlaceAlertPersistenceDeviceTest#alertRuleAndTagTargetsPersistThroughRepository
substances	PersistenceUiRegressionDeviceTest#substanceStockRefillThenDoseButtonPersistsIntakeWithoutCrash
intake_events	PersistenceUiRegressionDeviceTest#substanceStockRefillThenDoseButtonPersistsIntakeWithoutCrash
stock_adjustments	PersistenceUiRegressionDeviceTest#substanceStockRefillThenDoseButtonPersistsIntakeWithoutCrash
prescriptions	SubstanceInternalPersistenceDeviceTest#relatedSubstanceRowsPersistThroughRepository
interaction_rules	SubstanceInternalPersistenceDeviceTest#relatedSubstanceRowsPersistThroughRepository
interaction_targets	SubstanceInternalPersistenceDeviceTest#relatedSubstanceRowsPersistThroughRepository
notification_state	SubstanceInternalPersistenceDeviceTest#notificationPlanAndSettingPersistThroughProductionWriters
settings	SubstanceInternalPersistenceDeviceTest#notificationPlanAndSettingPersistThroughProductionWriters
macros	SubstanceInternalPersistenceDeviceTest#relatedSubstanceRowsPersistThroughRepository
